stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
06098005413,,18 y 161,,-34.87944,-57.880028,,,,,America/Argentina/Buenos_Aires,
06098005414,,162 y 19,,-34.879187,-57.878268,,,,,America/Argentina/Buenos_Aires,
06098005415,,162 y 21,,-34.880421,-57.876063,,,,,America/Argentina/Buenos_Aires,
06098005416,,162 y 23,,-34.881246,-57.874613,,,,,America/Argentina/Buenos_Aires,
06098005417,,162 y 25,,-34.88225,-57.8728,,,,,America/Argentina/Buenos_Aires,
06098005418,,162 y 29,,-34.884663,-57.868756,,,,,America/Argentina/Buenos_Aires,
06098005419,,130 y 162,,-34.885135,-57.866874,,,,,America/Argentina/Buenos_Aires,
06098005420,,30 y 163,,-34.883639,-57.86563,,,,,America/Argentina/Buenos_Aires,
06098005421,,30 y 165,,-34.882089,-57.864332,,,,,America/Argentina/Buenos_Aires,
06098005422,,30 y 167,,-34.880533,-57.863061,,,,,America/Argentina/Buenos_Aires,
06098005423,,30 y 170,,-34.879011,-57.861797,,,,,America/Argentina/Buenos_Aires,
06098005424,,30 y 172,,-34.876718,-57.859892,,,,,America/Argentina/Buenos_Aires,
06098005426,,162 y 26,,-34.882901,-57.871644,,,,,America/Argentina/Buenos_Aires,
06098006000,,Av. 7 y 158,,-34.875943,-57.893844,,,,,America/Argentina/Buenos_Aires,
06098006002,,153 y Av. 7,,-34.881123,-57.897937,,,,,America/Argentina/Buenos_Aires,
06098006004,,Pza. Almafuerte,,-34.875399,-57.892236,,,,,America/Argentina/Buenos_Aires,
06098006007,,152 Norte y 12,,-34.884107,-57.89358,,,,,America/Argentina/Buenos_Aires,
06098006008,,Av. 7 y 156,,-34.878435,-57.89599,,,,,America/Argentina/Buenos_Aires,
06098006010,,Av. 7 y 153,,-34.881462,-57.898438,,,,,America/Argentina/Buenos_Aires,
06098006012,,Av. 7 y 150,,-34.883975,-57.900607,,,,,America/Argentina/Buenos_Aires,
06098006024,,11 y 157,,-34.878675,-57.890631,,,,,America/Argentina/Buenos_Aires,
06098006026,,11 y 156,,-34.880329,-57.892027,,,,,America/Argentina/Buenos_Aires,
06098006028,,11 y 153,,-34.88262,-57.893909,,,,,America/Argentina/Buenos_Aires,
06098007032,,37 y 125,,-34.931493,-57.886824,,,,,America/Argentina/Buenos_Aires,
06098007034,,36 y 127,,-34.92866,-57.885693,,,,,America/Argentina/Buenos_Aires,
06098007035,,36 y 129,,-34.926546,-57.883685,,,,,America/Argentina/Buenos_Aires,
06098007037,,129 y 40,,-34.928883,-57.880025,,,,,America/Argentina/Buenos_Aires,
06098008001,,44 y 127,,-34.933403,-57.878321,,,,,America/Argentina/Buenos_Aires,
06098008002,,44 y 129,,-34.931298,-57.876335,,,,,America/Argentina/Buenos_Aires,
06098008003,,129 y 42,,-34.930104,-57.878064,,,,,America/Argentina/Buenos_Aires,
06098008004,,129 y 40,,-34.928915,-57.879904,,,,,America/Argentina/Buenos_Aires,
06098008005,,39 y 129,,-34.92835,-57.880907,,,,,America/Argentina/Buenos_Aires,
06098008006,,129 y 38,,-34.927736,-57.88172,,,,,America/Argentina/Buenos_Aires,
06098008007,,129 y 36,,-34.926512,-57.883587,,,,,America/Argentina/Buenos_Aires,
06098008008,,36 y 127,,-34.928539,-57.885638,,,,,America/Argentina/Buenos_Aires,
06098008009,,36 y 126,,-34.929734,-57.886777,,,,,America/Argentina/Buenos_Aires,
06098008011,,127 y 34,,-34.927462,-57.887453,,,,,America/Argentina/Buenos_Aires,
06098008012,,127 y 31,,-34.925741,-57.890157,,,,,America/Argentina/Buenos_Aires,
06098008013,,31 y 126,,-34.927137,-57.891475,,,,,America/Argentina/Buenos_Aires,
06098008015,,91 y 126,,-34.927226,-57.891501,,,,,America/Argentina/Buenos_Aires,
06098008016,,91 y 127,,-34.925787,-57.89023,,,,,America/Argentina/Buenos_Aires,
06098008017,,127 y 34,,-34.927421,-57.88759,,,,,America/Argentina/Buenos_Aires,
06098008018,,127 y 36,,-34.928597,-57.885744,,,,,America/Argentina/Buenos_Aires,
06098008020,,129 y 38,,-34.927705,-57.881841,,,,,America/Argentina/Buenos_Aires,
06098008022,,129 y 42,,-34.930086,-57.878177,,,,,America/Argentina/Buenos_Aires,
06098008023,,129 y 44,,-34.931246,-57.876369,,,,,America/Argentina/Buenos_Aires,
06098008024,,44 y 127,,-34.93331,-57.878292,,,,,America/Argentina/Buenos_Aires,
06098009001,,38 y 126,,-34.93092,-57.884794,,,,,America/Argentina/Buenos_Aires,
06098052021,,Nueva York y 168,,-34.86366,-57.891351,,,,,America/Argentina/Buenos_Aires,
06126000001,,Shap Campana (Col. Sur RN. 9),,-34.210335,-58.930308,,,,,America/Argentina/Buenos_Aires,
06126000002,,Col. Sur RN. 9 y Vicente de Marco,,-34.208577,-58.93149,,,,,America/Argentina/Buenos_Aires,
06126000003,,Col. Sur RN. 9 e Hipólito Fremy,,-34.204823,-58.934173,,,,,America/Argentina/Buenos_Aires,
06126000004,,Esc. Tec. Rocca (Col. Sur RN. 9),,-34.200809,-58.937352,,,,,America/Argentina/Buenos_Aires,
