service_id,date,exception_type
DI,20240324,2
FI,20240329,1
FI,20240213,1
FI,20240212,1
FI,20240525,1
FI,20240324,1
FI,20240402,1
FI,20240101,1
FI,20240501,1
FI,20240401,1
FI,20240617,1
FI,20240620,1
FI,20240621,1
FI,20240709,1
FI,20240817,1
FI,20241011,1
FI,20241012,1
FI,20241118,1
FI,20241208,1
FI,20241225,1
HI,20240329,2
HI,20240213,2
HI,20240212,2
HI,20240402,2
HI,20240101,2
HI,20240501,2
HI,20240401,2
SI,20240525,2
HI,20240617,2
HI,20240620,2
HI,20240621,2
HI,20240709,2
SI,20240817,2
HI,20241011,2
SI,20241012,2
HI,20241118,2
DI,20241208,2
HI,20241225,2
