trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1215SI0,1215,SI,6 (ROJO) - IDA,273R6,0,,12150,,
1215SI1,1215,SI,6 (ROJO) - VUELTA,273R6,1,,12151,,
1216DI0,1216,DI,RAMAL 4 (VERDE) - IDA,273R4,0,,12160,,
1216DI1,1216,DI,RAMAL 4 (VERDE) - VUELTA,273R4,1,,12161,,
1216FI0,1216,FI,RAMAL 4 (VERDE) - IDA,273R4,0,,12160,,
1216FI1,1216,FI,RAMAL 4 (VERDE) - VUELTA,273R4,1,,12161,,
1216HI0,1216,HI,RAMAL 4 (VERDE) - IDA,273R4,0,,12160,,
1216HI1,1216,HI,RAMAL 4 (VERDE) - VUELTA,273R4,1,,12161,,
1216SI0,1216,SI,RAMAL 4 (VERDE) - IDA,273R4,0,,12160,,
1216SI1,1216,SI,RAMAL 4 (VERDE) - VUELTA,273R4,1,,12161,,
1217DI0,1217,DI,a Berazategui,418TRO,0,,12170,,
1217HI0,1217,HI,a Berazategui,418TRO,0,,12170,,
1217SI0,1217,SI,a Berazategui,418TRO,0,,12170,,
121DI0,121,DI,Lisandro de la Torre - IDA,188B,0,,1210,,
121DI1,121,DI,Lisandro de la Torre - VUELTA,188B,1,,1211,,
121FI0,121,FI,Lisandro de la Torre - IDA,188B,0,,1210,,
121FI1,121,FI,Lisandro de la Torre - VUELTA,188B,1,,1211,,
121HI0,121,HI,Lisandro de la Torre - IDA,188B,0,,1210,,
121HI1,121,HI,Lisandro de la Torre - VUELTA,188B,1,,1211,,
121SI0,121,SI,Lisandro de la Torre - IDA,188B,0,,1210,,
121SI1,121,SI,Lisandro de la Torre - VUELTA,188B,1,,1211,,
122DI0,122,DI,Cno. Negro - IDA,188C,0,,1220,,
122DI1,122,DI,Cno. Negro - VUELTA,188C,1,,1221,,
122FI0,122,FI,Cno. Negro - IDA,188C,0,,1220,,
122FI1,122,FI,Cno. Negro - VUELTA,188C,1,,1221,,
122HI0,122,HI,Cno. Negro - IDA,188C,0,,1220,,
122HI1,122,HI,Cno. Negro - VUELTA,188C,1,,1221,,
122SI0,122,SI,Cno. Negro - IDA,188C,0,,1220,,
122SI1,122,SI,Cno. Negro - VUELTA,188C,1,,1221,,
1231DI0,1231,DI,Ramal 2 - IDA,179B,0,,12310,,
1231DI1,1231,DI,Ramal 2 - VUELTA,179B,1,,12311,,
1231FI0,1231,FI,Ramal 2 - IDA,179B,0,,12310,,
1231FI1,1231,FI,Ramal 2 - VUELTA,179B,1,,12311,,
1231HI0,1231,HI,Ramal 2 - IDA,179B,0,,12310,,
1231HI1,1231,HI,Ramal 2 - VUELTA,179B,1,,12311,,
1231SI0,1231,SI,Ramal 2 - IDA,179B,0,,12310,,
1231SI1,1231,SI,Ramal 2 - VUELTA,179B,1,,12311,,
1232DI0,1232,DI,Ramal 3 - IDA,179C,0,,12320,,
